Group-Name,Group-ID,In/Out,Protocol,Port,Source/Destination
launch-wizard-20,sg-00d822a7d51790fd6
,,,tcp,139,0.0.0.0/0
,,,tcp,135,0.0.0.0/0
,,,tcp,636,0.0.0.0/0
,,,tcp,53,0.0.0.0/0
,,,udp,88,0.0.0.0/0
,,Outbound
,,,All,All,sg-070859f499ceabf8e
,,,All,All,sg-08ed89861e97f1b17
Web Proxy Outbound,sg-07476a6a0ca524f14
,,Inbound
,,Outbound
,,,tcp,3128,172.21.3.37/32
,,,tcp,3128,172.21.1.222/32
windows-hchb-qa-sg,sg-075305538f3051291
,,Inbound
,,,tcp,3389,24.182.104.39/32
,,,tcp,3389,131.226.34.254/32
,,,tcp,3389,10.255.8.9/32
,,,tcp,3389,24.27.102.159/32
,,,tcp,3389,47.189.73.111/32
,,,tcp,3389,47.185.217.237/32
,,,tcp,3389,99.127.146.246/32
,,,tcp,3389,131.226.36.57/32
,,Outbound
,,,All,All,0.0.0.0/0
SSH Admin Access,sg-0768ab574defc1f3a
,,Inbound
,,,tcp,22,47.187.214.136/32
,,,tcp,22,47.190.60.88/32
,,Outbound
,,,All,All,0.0.0.0/0
LogRhythm Group,sg-07bfaa80fae167376
,,Inbound
,,,tcp,1433,47.190.60.88/32
,,,tcp,514,172.31.0.0/20
,,,tcp,9000,172.31.0.0/20
,,,All,All,172.31.72.56/32
,,,tcp,22,172.31.2.248/32
,,,tcp,8443,47.190.60.88/32
,,,tcp,3000,172.31.0.0/20
,,,tcp,3389,47.190.60.88/32
,,,tcp,3389,47.190.60.89/32
,,,tcp,3389,47.190.60.90/32
,,,tcp,3389,47.190.60.91/32
,,,tcp,3389,47.190.60.92/32
,,,tcp,3389,172.21.1.33/32
,,,tcp,3389,131.226.34.254/32
,,,tcp,3389,131.226.36.57/32
,,,tcp,443,47.190.60.88/32
,,,tcp,443,172.31.0.0/20
,,,tcp,443,172.31.16.0/20
,,,tcp,443,3.81.111.236/32
,,,tcp,443,18.232.113.205/32
,,,tcp,443,35.173.254.206/32
,,,tcp,443,34.201.205.169/32
,,,tcp,443,34.200.227.39/32
,,,tcp,443,34.200.154.133/32
,,,tcp,443,172.21.1.0/24
,,,tcp,443,172.21.2.0/24
